"№";"ИНН";"ОГРН";"Название";"Страна";"Регион";"Населенный Пункт";"Индекс";"Адрес";"Раздел";"Подраздел";"Рубрика";"Ключевое слово";"Телефоны";"Сотовый";"Метро (Остановка)";"Email";"Сайт";"Vk.com";"Twitter.com";"Facebook.com";"Instagram.com";"X";"Y";"Дополнительно";"Время Работы"
"150935189444";"";"";"Pit Stop";"Россия";"Алтайский край";"Алейск";"";"ул. имени В. Олешко, 22Б, Алейск";"Автомобили";"Автосервис, услуги";"Автомойка";"";"";"+7 (913) 023-13-33";"";"";"";"";"";"";"";"82.779491";"52.50578";"";"ежедневно, 9:00–21:00"
"153829568970";"";"";"Автомойка";"Россия";"Алтайский край";"Алейск";"";"Рабочий пер., 4, Алейск";"Автомобили";"Автосервис, услуги";"Автомойка";"";"";"";"";"";"";"";"";"";"";"82.77366";"52.489565";"";"ежедневно, 9:00–20:00"
"148446057932";"";"";"Автомойка";"Россия";"Алтайский край";"Алейск";"658131";"ул. Давыдова, 158А, Алейск";"Автомобили";"Автосервис, услуги";"Автомойка";"";"";"";"";"";"";"";"";"";"";"82.790419";"52.493434";"";""
"128491535008";"";"";"Южное, НСГ-Росэнерго";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 189А, Алейск";"Автомобили";"Автосервис, услуги";"Автомойка";"";"+7 (38553) 2-44-33";"+7 (952) 000-12-59";"";"";"";"";"";"";"";"82.758494";"52.484948";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"128491535008";"";"";"Южное, НСГ-Росэнерго";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 189А, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-44-33";"+7 (952) 000-12-59";"";"";"";"";"";"";"";"82.758494";"52.484948";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"128491535008";"";"";"Южное, НСГ-Росэнерго";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 189А, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"+7 (38553) 2-44-33";"+7 (952) 000-12-59";"";"";"";"";"";"";"";"82.758494";"52.484948";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"128491535008";"";"";"Южное, НСГ-Росэнерго";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 189А, Алейск";"Бизнес";"Страхование";"Страхование автомобилей";"";"+7 (38553) 2-44-33";"+7 (952) 000-12-59";"";"";"";"";"";"";"";"82.758494";"52.484948";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"128491535008";"";"";"Южное, НСГ-Росэнерго";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 189А, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-44-33";"+7 (952) 000-12-59";"";"";"";"";"";"";"";"82.758494";"52.484948";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"94910451523";"";"";"Автомойка";"Россия";"Алтайский край";"Алейск";"658133";"Советская ул., 6А, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автомойка";"";"";"";"";"";"";"";"";"";"";"82.79137";"52.504034";"";""
"223346760516";"";"";"Авторемонт";"Россия";"Алтайский край";"Алейск";"";"ул. Давыдова, 165, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.792534";"52.493893";"";""
